Title,Release_Date,Metascore,Genre
RKGK / Rakugaki,"May 22, 2024",76,3D Platformer
SUMMERHOUSE,"Mar 8, 2024",76,Simulation
Nobody Wants to Die,"Jul 17, 2024",76,First-Person Adventure
Volgarr the Viking II,"Aug 6, 2024",76,2D Platformer
Until Then,"Jun 25, 2024",76,Adventure
KAKU: Ancient Seal,"Jul 12, 2024",76,Open-World Action
Bandle Tale: A League of Legends Story,"Feb 21, 2024",76,RPG
Heading Out,"May 7, 2024",76,Auto Racing
BORE BLASTERS,"Mar 8, 2024",76,Action
Homeworld 3,"May 13, 2024",75,Real-Time Strategy
Saviorless,"Apr 2, 2024",75,2D Platformer
Classified: France '44,"Mar 5, 2024",75,Turn-Based Tactics
MultiVersus,"May 28, 2024",75,2D Fighting
Apollo Justice: Ace Attorney Trilogy,"Jan 25, 2024",75,Compilation
Beat Slayer,"Apr 4, 2024",75,3D Beat-'Em-Up
SAND LAND,"Apr 26, 2024",75,Action RPG
Dread Delusion,"May 14, 2024",75,Western RPG
Creatures of Ava,"Aug 7, 2024",75,Open-World Action
Flock,"Jul 16, 2024",75,Adventure
Visions of Mana,"Aug 29, 2024",74,JRPG
TopSpin 2K25,"Apr 26, 2024",74,Tennis
The Thaumaturge,"Mar 4, 2024",74,RPG
Gestalt: Steam & Cinder,"Jul 16, 2024",74,Metroidvania
"Rolling Hills: Make Sushi, Make Friends","Jun 4, 2024",74,Tycoon
Penny's Big Breakaway,"Feb 21, 2024",74,3D Platformer
Dungeons & Degenerate Gamblers,"Aug 8, 2024",74,Card Battle
Eden Genesis,"Aug 6, 2024",74,2D Platformer
Lysfanga: The Time Shift Warrior,"Feb 13, 2024",74,Action Adventure
Sons of Valhalla,"Apr 5, 2024",73,Strategy
The Crush House,"Aug 9, 2024",73,First-Person Adventure
#BLUD,"Jun 18, 2024",73,Action Adventure
Wizardry: Proving Grounds of the Mad Overlord Remaster,"May 23, 2024",73,Western RPG
Tomb Raider I-III Remastered Starring Lara Croft,"Feb 14, 2024",73,Compilation
Biomorph,"Apr 5, 2024",73,Metroidvania
WE ARE FOOTBALL 2024,"Mar 4, 2024",73,Soccer Management
Goblin Stone,"Mar 12, 2024",72,Turn-Based Strategy
Men of War II,"May 15, 2024",72,Real-Time Strategy
Terminator: Dark Fate - Defiance,"Feb 21, 2024",72,Real-Time Strategy
Capes,"May 29, 2024",72,Turn-Based Tactics
King Arthur: Legion IX,"May 9, 2024",72,Turn-Based Tactics
The Sims 4: Lovestruck,"Jul 25, 2024",72,Virtual Life
F1 24,"May 31, 2024",72,Auto Racing Sim
Stargate: Timekeepers,"Jan 23, 2024",72,Real-Time Tactics
Phantom Abyss,"Jan 25, 2024",72,Action Adventure
Wrath: Aeon of Ruin,"Feb 27, 2024",71,FPS
The Casting of Frank Stone,"Sep 3, 2024",71,Third-Person Adventure
Welcome to ParadiZe,"Feb 29, 2024",71,Survival
Once Human,"Jul 9, 2024",71,Survival
CYGNI: All Guns Blazing,"Aug 5, 2024",70,Vertical Shoot-'Em-Up
Slave Zero X,"Feb 21, 2024",70,2D Beat-'Em-Up
Go Mecha Ball,"Jan 25, 2024",70,Top-Down Shoot-'Em-Up
Reveil,"Mar 6, 2024",70,First-Person Adventure
Solo Leveling:Arise,"May 8, 2024",70,Action RPG
The Cub,"Jan 19, 2024",70,2D Platformer
Contra: Operation Galuga,"Mar 12, 2024",70,2D Platformer
Flintlock: The Siege of Dawn,"Jul 17, 2024",70,Action RPG
Killer Klowns from Outer Space: The Game,"Jun 4, 2024",69,Survival
Outcast: A New Beginning,"Mar 15, 2024",69,Open-World Action
Bulwark: Falconeer Chronicles,"Mar 26, 2024",69,Management
Hauntii,"May 23, 2024",69,Action Adventure
Wuthering Waves,"May 23, 2024",69,Action RPG
Harold Halibut,"Apr 16, 2024",69,Adventure
The Outlast Trials,"Mar 5, 2024",69,Survival
Ereban: Shadow Legacy,"Apr 10, 2024",68,Linear Action Adventure
Reigns: Three Kingdoms,"Jan 11, 2024",68,Board
Millennia,"Mar 26, 2024",68,4X Strategy
Dustborn,"Aug 20, 2024",68,Action Adventure
Life Eater,"Apr 16, 2024",68,Adventure
Open Roads,"Mar 28, 2024",67,Adventure
War Hospital,"Jan 11, 2024",67,Real-Time Strategy
Star Wars: Bounty Hunter Remaster,"Jul 31, 2024",67,Third Person Shooter
SCHiM,"Jul 18, 2024",67,3D Platformer
XDefiant,"May 21, 2024",67,Tactical FPS
Alone in the Dark,"Mar 20, 2024",67,Survival
Noreya: The Gold Project,"Jun 21, 2024",65,Metroidvania
Phantom Fury,"Apr 23, 2024",65,FPS
Concord,"Aug 23, 2024",65,Tactical FPS
Graven,"Jan 23, 2024",65,Action Adventure
Deathbound,"Aug 8, 2024",65,Action RPG
Star Wars: Battlefront Classic Collection,"Mar 14, 2024",65,Compilation
Chronique des Silencieux,"Jan 29, 2024",64,Point-and-Click
Suicide Squad: Kill The Justice League,"Feb 2, 2024",63,Third Person Shooter
Autopsy Simulator,"Jun 6, 2024",63,Virtual Career
Astor: Blade of the Monolith,"May 30, 2024",61,Action RPG
Broken Roads,"Apr 10, 2024",61,Western RPG
South Park: Snow Day!,"Mar 26, 2024",59,Third Person Shooter
Undead Inc.,"May 2, 2024",59,Tycoon
Skull and Bones,"Feb 16, 2024",58,Action Adventure
The Inquisitor,"Feb 8, 2024",58,Action Adventure
The First Descendant,"Jun 30, 2024",57,Third Person Shooter
Crown Wars: The Black Prince,"May 23, 2024",57,Turn-Based Tactics
Die by the Blade,"May 16, 2024",54,3D Fighting
Taxi Life: A City Driving Simulator,"Mar 7, 2024",51,Vehicle Sim
Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants,"Apr 23, 2024",51,2D Beat-'Em-Up
